sub:13	obj:13	sub:19	obj:19	sub:9	obj:9	sub:10	obj:10	sub:6	obj:6	sub:2	obj:2	sub:23	obj:23	sub:25	obj:25	sub:16	obj:16	sub:20	obj:20	sub:22	obj:22	sub:4	obj:4	sub:1	obj:1	sub:7	obj:7	sub:14	obj:14	sub:24	obj:24	sub:5	obj:5	sub:17	obj:17	sub:15	obj:15	sub:11	obj:11	sub:12	obj:12	sub:3	obj:3	sub:21	obj:21	sub:18	obj:18	sub:8	obj:8
14	21	2	""	66	""	66	""	2	76	76	45	""	""	45	""	""	""	""	50	""	""	""	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
52	35	98	47	35	19	52	46	99	16	98	98	47	6	71	47	35	19	47	98	96	102	5	41	47	19	47	98	70	96	27	40	90	90	75	70	53	68	55	38	86	41	""	94	""	""	""	""	""	""
94	66	45	""	91	""	94	""	50	80	80	""	""	""	""	""	""	""	""	57	""	""	""	""	""	""	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
60	68	55	25	19	62	19	74	102	95	102	93	38	57	102	25	25	21	86	102	44	""	92	14	53	62	40	41	92	103	88	""	80	""	32	67	""	13	45	""	""	""	""	""	""	""	""	""	""	""
7	7	51	15	51	69	7	7	51	7	7	7	15	54	51	51	7	29	7	51	15	7	54	29	54	69	51	51	15	7	7	15	7	51	15	51	7	69	69	69	29	69	69	11	99	73	89	71	39	45
55	55	103	86	95	50	95	""	40	25	40	44	92	""	40	81	81	""	97	25	81	""	48	""	33	45	86	38	84	86	10	""	""	""	49	56	""	2	""	""	""	""	""	""	""	""	""	""	""	""
30	30	34	59	30	70	30	52	59	30	30	59	59	71	30	8	30	70	8	30	34	96	28	61	8	70	34	30	35	22	85	43	71	71	71	85	78	99	61	26	60	61	""	9	""	""	""	""	""	""
29	29	29	29	29	34	29	87	29	69	29	69	29	64	29	87	29	34	87	29	29	59	42	34	42	30	29	69	64	87	42	59	64	87	34	29	8	34	35	16	31	16	60	85	""	65	""	""	""	""
8	8	28	28	8	26	8	96	22	8	22	22	28	43	28	85	8	26	16	8	22	18	16	78	85	26	22	8	98	16	35	27	43	100	31	71	6	43	77	104	55	78	""	20	""	""	""	""	""	""
62	39	91	""	12	""	62	""	94	66	66	72	""	""	76	50	50	""	""	94	80	""	""	""	""	""	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
54	54	54	101	15	42	54	15	15	54	54	54	101	11	54	29	15	42	54	15	101	15	101	42	101	42	54	15	69	101	54	11	54	54	101	54	29	73	42	42	34	3	100	64	""	47	""	56	""	""
16	52	16	98	52	68	16	27	71	52	52	35	71	46	35	71	16	104	98	35	47	6	96	68	98	60	98	52	31	99	5	90	46	89	27	100	25	26	41	93	82	19	""	83	""	""	""	""	""	""
78	78	60	23	77	24	77	12	60	90	6	104	19	66	89	19	23	24	95	6	23	91	38	1	93	24	104	6	95	19	48	74	21	91	82	44	57	20	37	21	""	21	""	""	""	""	""	""	""	""
91	94	57	""	74	""	74	""	57	50	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
40	103	86	97	44	""	25	""	53	86	92	81	48	""	58	84	84	""	88	58	84	""	9	""	79	""	67	53	20	84	4	""	""	""	21	12	""	""	""	""	""	""	""	""	""	""	""	""	""	""
95	93	44	81	103	""	40	""	25	82	25	92	58	""	44	48	48	""	84	53	48	""	67	""	97	""	81	25	24	33	49	""	""	""	39	49	""	50	""	""	""	""	""	""	""	""	""	""	""	""
74	74	""	""	76	""	76	""	""	57	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19	19	93	44	23	83	23	76	55	93	55	40	25	""	55	44	82	14	58	55	82	""	86	2	92	14	25	102	86	44	1	""	57	""	1	24	""	14	""	""	""	""	""	""	""	""	""	""	""	""
101	101	11	69	101	30	11	73	11	101	101	101	69	73	11	42	101	30	42	11	69	87	69	30	29	3	101	11	73	29	29	64	87	73	3	101	30	30	30	30	98	34	46	22	""	9	""	76	""	""
85	85	35	52	85	104	85	18	16	85	35	52	16	17	52	35	85	68	71	16	98	89	47	60	52	68	71	16	5	98	43	6	26	46	70	31	93	27	19	23	44	60	""	12	""	""	""	""	""	""
66	14	80	""	94	""	91	""	80	2	2	57	""	""	""	""	""	""	""	45	""	""	""	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
58	58	79	20	33	""	81	""	97	79	67	9	20	""	24	20	20	""	49	79	56	""	37	""	36	""	36	67	83	20	21	""	""	""	45	76	""	""	""	""	""	""	""	""	""	""	""	""	""	""
77	77	104	41	89	1	89	83	104	104	68	90	23	91	77	23	102	1	103	104	102	94	103	36	95	1	68	68	38	41	97	76	66	94	92	82	""	56	49	2	""	14	""	""	""	""	""	""	""	""
59	59	8	22	59	75	59	47	28	59	8	28	22	96	8	28	59	75	85	59	8	100	85	26	28	75	8	59	52	85	16	18	96	43	5	35	77	96	78	68	23	26	""	88	""	""	""	""	""	""
6	6	19	95	104	10	104	66	90	41	90	19	102	74	68	95	95	10	25	60	38	72	25	37	38	10	23	90	40	55	84	""	94	74	33	58	""	10	62	45	""	50	""	""	""	""	""	""	""	""
17	17	89	60	26	67	26	65	89	89	78	78	90	12	26	90	60	67	23	78	68	83	102	84	23	67	6	78	102	104	86	66	12	83	38	93	72	67	24	63	""	37	""	""	""	""	""	""	""	""
53	53	97	9	86	""	92	""	81	48	33	67	9	""	97	32	32	""	36	97	88	""	56	""	1	""	32	81	49	32	83	""	""	""	76	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""
83	12	72	""	13	""	13	""	72	91	91	2	""	""	80	45	""	""	""	74	57	""	""	""	""	""	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
87	73	73	64	87	98	73	8	87	73	73	73	64	28	73	3	73	98	3	73	87	22	3	98	3	35	87	87	34	3	64	85	22	8	28	34	99	22	99	5	75	98	84	47	""	74	""	""	""	""
22	28	22	85	22	78	28	43	52	28	85	85	85	100	22	16	28	78	35	22	52	17	98	77	16	78	52	22	99	35	47	17	100	18	100	98	19	5	68	60	95	77	""	56	""	""	""	""	""	""
24	9	36	4	32	""	24	""	1	36	36	37	39	""	49	62	4	""	21	10	39	""	13	""	13	""	12	10	2	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
27	61	46	104	75	48	75	20	46	26	26	26	6	4	75	77	90	48	90	26	60	39	19	97	19	48	77	26	41	89	82	83	65	39	93	102	14	48	84	37	45	1	""	""	""	""	""	""	""	""
11	11	101	11	11	3	101	11	101	11	11	11	11	87	101	69	11	3	69	101	11	11	29	3	69	64	11	101	29	69	101	73	11	11	11	11	73	64	3	3	28	30	18	59	""	58	""	12	""	""
38	38	53	33	38	""	38	""	44	53	44	86	81	""	82	97	97	""	24	92	97	""	84	""	67	""	33	44	88	48	63	""	""	""	12	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""
44	44	33	84	53	""	82	""	86	81	58	48	67	""	33	9	9	""	20	33	24	""	88	""	9	""	24	86	36	9	62	""	""	""	74	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""
42	42	87	73	42	35	42	59	42	42	42	42	73	8	42	64	42	35	64	42	73	28	64	16	64	16	73	42	30	64	87	22	8	59	22	3	35	8	98	99	61	71	40	71	""	91	""	""	""	""
50	80	""	""	45	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
71	71	47	96	71	41	71	89	47	98	47	99	99	90	98	99	98	41	96	99	5	103	31	23	96	41	96	99	27	5	75	103	102	102	17	61	92	60	93	25	48	55	""	76	""	""	""	""	""	""
46	46	6	19	78	79	78	39	6	68	89	6	68	13	78	68	41	79	55	77	41	66	95	24	55	79	90	77	93	68	81	91	13	66	44	40	45	88	10	14	""	62	""	""	""	""	""	""	""	""
41	41	95	82	41	14	41	80	93	38	95	103	44	""	95	82	53	2	81	93	53	""	58	50	86	21	44	93	81	82	20	""	""	""	20	9	""	66	""	""	""	""	""	""	""	""	""	""	""	""
69	69	42	42	69	16	69	64	69	29	69	29	42	59	69	73	69	16	73	69	42	8	73	35	73	34	69	29	3	73	73	8	59	64	59	87	28	59	16	98	70	35	102	52	""	94	""	""	""	""
65	65	14	50	39	""	4	""	14	14	14	91	50	""	74	2	2	""	""	66	76	""	""	""	""	""	""	66	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
12	62	94	""	83	""	12	""	91	94	94	74	""	""	2	57	57	""	""	72	50	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
102	102	40	92	55	2	55	""	103	40	103	25	53	""	103	58	58	45	48	40	58	""	33	""	81	50	53	103	97	92	36	""	""	""	37	20	""	76	""	""	""	""	""	""	""	""	""	""	""	""
67	67	1	49	79	""	84	""	9	1	88	56	63	""	56	65	49	""	12	1	63	""	39	""	39	""	4	88	94	49	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
76	72	""	""	2	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
86	86	84	88	81	""	58	""	48	84	97	79	88	""	84	1	1	""	37	84	20	""	10	""	56	""	56	97	39	1	14	""	""	""	57	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""
73	87	64	3	73	99	87	22	73	87	87	87	3	22	87	30	87	99	30	87	64	52	30	5	30	98	64	73	28	30	30	71	28	22	85	59	43	85	5	31	26	99	63	43	""	""	""	""	""	""
20	20	4	14	36	""	56	""	37	65	65	62	66	""	62	14	21	""	74	4	14	""	76	""	74	""	91	4	""	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
57	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23	23	38	53	102	21	102	57	95	103	93	38	82	""	93	92	92	50	33	103	92	""	81	45	58	2	82	95	33	53	56	""	""	""	56	32	""	94	""	""	""	""	""	""	""	""	""	""	""	""
90	104	23	38	60	49	90	94	41	102	41	102	103	76	19	40	103	63	82	41	103	80	82	62	25	49	93	19	82	93	9	""	74	80	97	33	""	49	2	""	""	""	""	""	""	""	""	""	""	""
26	26	77	90	46	84	46	4	77	60	77	77	104	83	46	60	19	84	102	89	19	13	93	79	102	84	60	89	55	60	58	94	83	13	40	38	2	84	36	62	""	63	""	""	""	""	""	""	""	""
49	49	13	2	65	""	63	""	13	83	83	21	2	""	91	74	72	""	""	21	72	""	""	""	""	""	80	13	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
10	10	12	74	49	""	37	""	62	62	62	13	74	""	14	94	94	""	80	83	94	""	50	""	50	""	72	12	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
47	99	96	5	47	55	99	90	43	47	96	96	43	40	99	43	99	55	5	96	100	58	70	95	5	55	31	96	75	100	89	81	40	40	46	75	48	102	38	82	79	25	""	""	""	""	""	""	""	""
9	24	10	39	88	""	32	""	20	10	10	63	62	""	63	12	39	""	14	37	62	""	14	""	21	""	83	37	80	21	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
98	98	99	43	98	23	98	6	96	99	99	47	96	102	47	96	47	23	43	47	31	40	18	55	43	23	43	47	61	31	17	58	103	103	26	27	81	23	95	44	67	38	""	""	""	""	""	""	""	""
84	84	20	63	24	""	79	""	32	20	1	36	65	""	10	4	63	""	83	20	65	""	62	""	62	""	39	20	74	63	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
92	92	67	24	58	""	86	""	33	67	48	84	24	""	67	88	88	""	10	67	1	""	36	""	20	""	88	48	63	88	13	""	""	""	80	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""
72	91	""	""	72	""	72	""	45	45	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
5	5	100	61	5	25	5	58	18	31	18	18	70	9	31	70	18	25	75	100	17	32	78	44	26	25	61	100	77	61	41	20	84	9	60	89	32	82	53	48	37	86	""	""	""	""	""	""	""	""
35	16	71	99	16	60	35	17	98	35	71	71	98	89	16	98	52	60	99	71	99	90	43	19	99	104	99	71	100	47	61	102	89	6	61	18	44	78	23	95	92	23	""	66	""	""	""	""	""	""
2	76	""	""	80	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18	18	61	78	70	53	70	9	75	61	61	61	17	20	70	75	17	53	68	61	89	56	104	92	68	53	26	61	60	46	38	4	88	20	41	90	10	58	48	24	21	84	""	""	""	""	""	""	""	""
82	82	48	79	92	""	53	""	58	33	81	97	84	""	48	24	24	""	56	48	32	""	20	""	88	""	9	58	10	24	12	""	""	""	72	21	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21	13	76	""	21	""	21	""	76	74	74	50	""	""	57	""	""	""	""	80	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
88	88	63	12	20	""	1	""	36	49	49	4	13	""	4	13	12	""	91	63	83	""	94	""	94	""	14	63	57	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
103	40	92	48	25	""	103	""	82	92	53	58	33	""	92	67	67	""	9	86	67	""	79	""	84	""	48	82	1	97	65	""	""	""	13	39	""	""	""	""	""	""	""	""	""	""	""	""	""	""
25	25	81	67	82	""	44	""	92	58	86	33	97	""	81	79	79	""	1	81	9	""	24	""	24	""	79	92	56	79	39	""	""	""	91	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""
64	64	3	30	64	5	64	28	30	64	64	64	30	85	64	34	64	5	34	64	3	71	34	31	34	99	3	64	22	34	8	47	85	28	52	28	100	16	31	70	78	31	21	78	""	""	""	""	""	""
70	70	75	89	61	92	27	32	17	75	75	75	26	56	61	46	26	92	104	75	6	65	68	86	60	92	46	75	68	78	40	39	20	56	102	23	37	81	97	36	14	79	""	""	""	""	""	""	""	""
63	63	21	80	4	""	65	""	21	13	13	66	80	""	94	76	76	""	""	14	74	""	""	""	""	""	50	14	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
97	97	88	37	84	""	67	""	24	88	32	1	49	""	20	49	37	""	62	88	49	""	4	""	4	""	65	32	66	37	74	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
79	79	56	65	9	""	9	""	88	56	56	10	4	""	37	39	65	""	13	36	4	""	12	""	12	""	62	36	76	39	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
34	34	59	8	34	61	34	71	8	34	59	8	8	47	34	22	34	61	22	34	59	43	22	75	22	61	59	34	16	28	52	100	47	96	98	52	89	47	75	78	19	75	""	32	""	""	""	""	""	""
89	89	90	102	6	36	6	13	68	19	104	68	41	94	60	55	55	36	40	68	95	74	40	10	103	36	19	104	103	23	67	80	91	72	81	92	""	36	63	50	""	2	""	""	""	""	""	""	""	""
15	15	15	54	54	29	15	54	54	15	15	15	54	15	15	101	54	69	15	54	54	54	15	69	15	29	15	54	11	11	15	54	15	15	54	15	101	42	29	29	3	42	96	87	74	52	83	9	""	""
36	36	62	94	37	""	10	""	39	39	39	83	91	""	83	91	66	""	2	12	66	""	80	""	2	""	74	62	""	76	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
31	31	18	17	100	44	100	81	70	100	70	70	27	32	100	27	70	44	17	70	78	88	77	82	78	44	75	18	6	75	102	56	9	32	90	6	1	53	92	67	49	48	""	""	""	""	""	""	""	""
80	2	""	""	50	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
33	33	9	36	97	""	48	""	84	9	79	32	36	""	32	10	36	""	65	24	10	""	63	""	37	""	37	79	21	36	94	""	""	""	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""
68	60	102	40	68	63	60	72	23	55	23	55	40	80	23	103	38	62	53	23	25	57	53	21	82	63	103	23	53	38	32	""	76	57	24	97	""	12	50	""	""	""	""	""	""	""	""	""	""	""
48	48	32	10	67	""	97	""	79	32	9	88	37	""	88	37	10	""	4	32	37	""	65	""	49	""	63	24	14	10	72	""	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""
51	51	7	51	7	101	51	51	7	51	51	51	51	7	7	7	51	101	51	7	51	51	51	101	51	101	7	7	51	51	51	51	51	7	7	7	51	51	101	101	101	29	15	7	28	51	18	22	63	11
28	22	52	16	28	77	22	100	35	22	16	16	52	18	85	52	22	77	52	28	35	46	99	104	35	77	16	28	96	71	99	46	17	17	18	5	55	70	104	19	38	104	""	65	""	""	""	""	""	""
32	32	37	62	1	""	88	""	56	37	37	65	12	""	65	83	62	""	66	49	12	""	66	""	66	""	13	49	50	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
75	75	78	68	17	97	17	56	78	78	46	46	60	39	17	104	68	97	19	46	90	12	23	67	41	97	89	46	23	6	92	13	39	12	95	95	91	97	79	49	""	10	""	""	""	""	""	""	""	""
13	83	74	""	14	""	14	""	74	72	72	80	""	""	50	""	""	""	""	2	45	""	""	""	""	""	""	76	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
